symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2021-12-02 00:00:00-05,1099.06,1113.0,1056.65,1084.6,25012886.0,729086.0,1084.153506
TSLA,2021-12-03 00:00:00-05,1084.79,1090.5753,1000.21,1014.97,31252687.0,1038576.0,1028.697044
TSLA,2021-12-06 00:00:00-05,1001.51,1021.64,950.5,1009.01,27700159.0,1013296.0,990.941875
TSLA,2021-12-07 00:00:00-05,1044.2,1057.6739,1026.81,1051.75,19382556.0,536695.0,1044.814465
TSLA,2021-12-08 00:00:00-05,1052.71,1072.38,1033.0001,1068.96,14426527.0,422184.0,1054.624272
TSLA,2021-12-09 00:00:00-05,1060.64,1062.49,1002.36,1003.8,20388059.0,630805.0,1026.086145
TSLA,2021-12-10 00:00:00-05,1008.75,1020.9797,982.53,1017.03,20470631.0,676251.0,1005.506422
TSLA,2021-12-13 00:00:00-05,1001.09,1005.0,951.42,966.41,27041052.0,1051661.0,970.570402
TSLA,2021-12-14 00:00:00-05,945.0,966.41,930.0,958.51,24215886.0,759628.0,946.536497
TSLA,2021-12-15 00:00:00-05,953.21,978.7499,928.2501,975.99,25703374.0,764820.0,953.755875
TSLA,2021-12-16 00:00:00-05,994.5,994.98,921.85,926.92,28230933.0,944105.0,944.350057
TSLA,2021-12-17 00:00:00-05,914.77,960.6599,909.0401,932.57,39258711.0,730582.0,935.100298
TSLA,2021-12-20 00:00:00-05,910.7,921.6884,893.39,899.94,19338849.0,697955.0,903.546448
TSLA,2021-12-21 00:00:00-05,916.87,939.5,886.12,938.53,24409953.0,714359.0,917.137272
TSLA,2021-12-22 00:00:00-05,965.66,1015.6599,957.05,1008.87,31883923.0,900150.0,994.788213
TSLA,2021-12-23 00:00:00-05,1006.8,1072.9767,997.56,1067.0,31529757.0,914000.0,1047.193314
TSLA,2021-12-27 00:00:00-05,1073.67,1117.0,1070.7152,1093.94,24733549.0,776902.0,1099.349173
TSLA,2021-12-28 00:00:00-05,1109.49,1118.9999,1078.42,1088.47,20620439.0,611869.0,1092.950305
TSLA,2021-12-29 00:00:00-05,1098.64,1104.0,1064.14,1086.19,19220231.0,539016.0,1084.290166
TSLA,2021-12-30 00:00:00-05,1061.33,1095.55,1053.15,1070.34,16013052.0,493939.0,1077.572533
TSLA,2021-12-31 00:00:00-05,1073.4444,1081.9999,1054.59,1056.78,14005237.0,379153.0,1066.333794
TSLA,2022-01-03 00:00:00-05,1147.75,1201.07,1136.04,1199.78,35894299.0,1162847.0,1173.115082
TSLA,2022-01-04 00:00:00-05,1189.55,1208.0,1123.05,1149.59,34003431.0,1051475.0,1161.030234
TSLA,2022-01-05 00:00:00-05,1146.65,1170.34,1081.0101,1088.12,27320109.0,811992.0,1125.505228
TSLA,2022-01-06 00:00:00-05,1077.0,1088.0,1020.5,1064.7,30546172.0,880979.0,1059.905327
TSLA,2022-01-07 00:00:00-05,1080.37,1080.9299,1010.0,1026.96,28453410.0,820823.0,1038.518663
TSLA,2022-01-10 00:00:00-05,1000.0,1059.1,980.0,1058.12,31233376.0,971561.0,1018.466176
TSLA,2022-01-11 00:00:00-05,1053.67,1075.85,1038.82,1064.4,22519365.0,644113.0,1060.454893
TSLA,2022-01-12 00:00:00-05,1078.85,1114.84,1072.5901,1106.22,28830184.0,761542.0,1096.644026
TSLA,2022-01-13 00:00:00-05,1109.065,1115.6,1026.5391,1031.56,33200275.0,924355.0,1067.93742
TSLA,2022-01-14 00:00:00-05,1019.88,1052.0,1013.3788,1049.61,24801900.0,708723.0,1036.374239
TSLA,2022-01-18 00:00:00-05,1026.605,1070.7899,1016.06,1030.51,23116064.0,662923.0,1042.1079
TSLA,2022-01-19 00:00:00-05,1041.705,1054.6699,995.0,995.65,25552678.0,828700.0,1015.19885
TSLA,2022-01-20 00:00:00-05,1009.73,1041.66,994.0,996.27,24019871.0,713221.0,1018.993686
TSLA,2022-01-21 00:00:00-05,996.34,1004.55,940.5,943.9,35030961.0,1140190.0,963.786256
TSLA,2022-01-24 00:00:00-05,904.76,933.5131,851.47,930.0,52061130.0,1596995.0,888.924059
TSLA,2022-01-25 00:00:00-05,914.2,951.26,903.21,918.4,29640559.0,818785.0,923.187867
TSLA,2022-01-26 00:00:00-05,952.43,987.69,906.0,937.41,35537357.0,1099447.0,948.53754
TSLA,2022-01-27 00:00:00-05,933.36,935.39,829.0,829.1,49769480.0,1862681.0,866.04142
TSLA,2022-01-28 00:00:00-05,831.56,857.5,792.01,846.35,45605709.0,1439109.0,831.307133
TSLA,2022-01-31 00:00:00-05,872.71,937.99,862.05,936.72,36054753.0,1019009.0,915.421412
TSLA,2022-02-01 00:00:00-05,935.21,943.7,905.0,931.25,24990159.0,756027.0,927.101414
TSLA,2022-02-02 00:00:00-05,928.18,931.5,889.41,905.66,23046614.0,716352.0,909.123268
TSLA,2022-02-03 00:00:00-05,882.0,937.0,880.52,891.14,26991037.0,767221.0,909.369729
TSLA,2022-02-04 00:00:00-05,897.22,936.5,881.17,923.32,24980935.0,681221.0,914.995272
TSLA,2022-02-07 00:00:00-05,923.79,947.77,902.7089,907.34,20730953.0,640687.0,921.726662
TSLA,2022-02-08 00:00:00-05,905.53,926.2899,894.8,922.0,17439099.0,513027.0,915.503997
TSLA,2022-02-09 00:00:00-05,935.0,946.2699,920.0,932.0,17856443.0,506988.0,932.761562
TSLA,2022-02-10 00:00:00-05,908.37,943.81,896.7,904.55,22647185.0,689690.0,920.555739
TSLA,2022-02-11 00:00:00-05,909.63,915.96,850.7,860.0,27045042.0,946249.0,878.216813
TSLA,2022-02-14 00:00:00-05,861.57,898.8799,853.15,875.76,23132169.0,696444.0,876.118814
TSLA,2022-02-15 00:00:00-05,900.0,923.0,893.3774,922.43,19821472.0,595381.0,915.025933
TSLA,2022-02-16 00:00:00-05,914.05,926.4299,901.21,923.39,17753076.0,475461.0,914.346003
TSLA,2022-02-17 00:00:00-05,913.26,918.4999,874.1,876.35,18934304.0,639883.0,889.760709
TSLA,2022-02-18 00:00:00-05,886.0,886.87,837.61,856.98,23537693.0,747330.0,856.239086
TSLA,2022-02-22 00:00:00-05,834.13,856.7338,801.1001,821.53,29206762.0,927744.0,823.444987
TSLA,2022-02-23 00:00:00-05,830.43,835.2997,760.56,764.04,32401059.0,1234437.0,788.358101
TSLA,2022-02-24 00:00:00-05,700.39,802.48,700.0,800.77,46731804.0,1313573.0,758.229702
TSLA,2022-02-25 00:00:00-05,809.23,819.5,782.4005,809.87,25868608.0,749573.0,801.86865
